OrderID,CustomerID,OrderDate,TotalAmount
1,6357,2024-12-26 18:20:34,87.43
2,5838,2024-12-02 18:20:34,283.25
3,4114,2024-12-11 18:20:34,390.15
4,7761,2024-12-07 18:20:34,66.71
5,489,2024-12-30 18:20:34,398.49
6,2614,2024-12-10 18:20:34,453.93
7,5249,2024-12-24 18:20:34,468.28
8,7425,2024-12-05 18:20:34,207.0
9,7274,2024-12-22 18:20:34,149.22
10,5559,2024-12-28 18:20:34,98.22
11,3339,2024-12-15 18:20:34,254.98
12,573,2024-12-12 18:20:34,233.33
13,1549,2024-12-08 18:20:34,467.64
14,8397,2024-12-03 18:20:34,168.1
15,2233,2024-12-11 18:20:34,225.36
16,6453,2024-12-05 18:20:34,412.41
17,3486,2024-12-19 18:20:34,106.16
18,2129,2024-12-20 18:20:34,224.27
19,4179,2024-12-20 18:20:34,374.01
20,3620,2024-12-18 18:20:34,429.46
21,4552,2024-12-28 18:20:34,29.56
22,4325,2024-12-25 18:20:34,123.72
23,9990,2024-12-18 18:20:34,71.83
24,5054,2024-12-05 18:20:34,318.75
25,4084,2024-12-05 18:20:34,427.23
26,921,2024-12-29 18:20:34,384.03
27,9833,2024-12-19 18:20:34,417.03
28,1188,2024-12-03 18:20:34,472.81
29,9775,2024-12-21 18:20:34,405.04
30,925,2024-12-15 18:20:34,56.93
31,2885,2024-12-19 18:20:34,168.53
32,6713,2024-12-07 18:20:34,312.89
33,8964,2024-12-28 18:20:34,219.62
34,7912,2024-12-14 18:20:34,246.54
35,3961,2024-12-13 18:20:34,204.25
36,2619,2024-12-17 18:20:34,325.12
37,7448,2024-12-17 18:20:34,79.92
38,1542,2024-12-28 18:20:34,120.26
39,1692,2024-12-17 18:20:34,244.93
40,8445,2024-12-29 18:20:34,88.62
41,780,2024-12-08 18:20:34,31.21
42,7247,2024-12-26 18:20:34,150.01
43,3562,2024-12-02 18:20:34,202.78
44,9602,2024-12-13 18:20:34,195.51
45,1045,2024-12-15 18:20:34,224.13
46,2051,2024-12-27 18:20:34,340.2
47,913,2024-12-03 18:20:34,262.9
48,6110,2024-12-01 18:20:34,196.63
49,1001,2024-12-07 18:20:34,466.49
50,2320,2024-12-09 18:20:34,56.39
51,6235,2024-12-26 18:20:34,483.26
52,6591,2024-12-24 18:20:34,481.82
53,8638,2024-12-26 18:20:34,401.26
54,1907,2024-12-14 18:20:34,232.89
55,3168,2024-12-30 18:20:34,190.23
56,5795,2024-12-15 18:20:34,134.18
57,7871,2024-12-06 18:20:34,385.17
58,979,2024-12-27 18:20:34,150.21
59,6044,2024-12-26 18:20:34,385.05
60,3523,2024-12-13 18:20:34,229.33
61,7811,2024-12-11 18:20:34,498.55
62,5022,2024-12-30 18:20:34,272.86
63,9399,2024-12-09 18:20:34,424.51
64,7873,2024-12-03 18:20:34,344.79
65,5103,2024-12-23 18:20:34,331.67
66,3150,2024-12-11 18:20:34,37.6
67,9518,2024-12-13 18:20:34,150.46
68,4237,2024-12-21 18:20:34,250.19
69,9240,2024-12-18 18:20:34,134.86
70,2024,2024-12-03 18:20:34,320.07
71,4536,2024-12-05 18:20:34,497.08
72,1598,2024-12-17 18:20:34,38.71
73,3001,2024-12-16 18:20:34,262.82
74,9387,2024-12-19 18:20:34,200.68
75,2035,2024-12-20 18:20:34,282.87
76,6832,2024-12-28 18:20:34,232.09
77,5597,2024-12-29 18:20:34,488.97
78,4122,2024-12-17 18:20:34,403.22
79,5346,2024-12-17 18:20:34,271.26
80,7526,2024-12-03 18:20:34,357.66
